gpu num is: 6
model original data nums:10571
train 100 steps, train loss: 13.925280570983887
add 93 points, now there are 10664 points
add 96 points, now there are 10853 points
add 95 points, now there are 11044 points
add 96 points, now there are 11235 points
add 95 points, now there are 11426 points
add 96 points, now there are 11617 points
add 96 points, now there are 11809 points
add 96 points, now there are 12001 points
add 95 points, now there are 12192 points
add 90 points, now there are 12377 points
add 95 points, now there are 12562 points
train 200 steps, train loss: 36.37879943847656
add 90 points, now there are 12747 points
add 95 points, now there are 12932 points
add 77 points, now there are 13104 points
add 77 points, now there are 13258 points
add 88 points, now there are 13423 points
add 94 points, now there are 13605 points
add 83 points, now there are 13782 points
add 92 points, now there are 13957 points
add 86 points, now there are 14135 points
add 87 points, now there are 14308 points
add 93 points, now there are 14488 points
train 300 steps, train loss: 28.237075805664062
add 95 points, now there are 14676 points
add 86 points, now there are 14857 points
add 59 points, now there are 15002 points
add 79 points, now there are 15140 points
add 79 points, now there are 15298 points
add 91 points, now there are 15468 points
add 93 points, now there are 15652 points
add 90 points, now there are 15835 points
add 90 points, now there are 16015 points
add 89 points, now there are 16194 points
add 91 points, now there are 16374 points
train 400 steps, train loss: 26.150026321411133
add 94 points, now there are 16559 points
add 76 points, now there are 16729 points
add 84 points, now there are 16889 points
add 79 points, now there are 17052 points
add 91 points, now there are 17222 points
add 85 points, now there are 17398 points
add 95 points, now there are 17578 points
add 83 points, now there are 17756 points
add 90 points, now there are 17929 points
add 89 points, now there are 18108 points
add 85 points, now there are 18282 points
train 500 steps, train loss: 25.501190185546875
add 91 points, now there are 18458 points
add 83 points, now there are 18632 points
add 62 points, now there are 18777 points
add 85 points, now there are 18924 points
add 90 points, now there are 19099 points
add 90 points, now there are 19279 points
add 91 points, now there are 19460 points
add 88 points, now there are 19639 points
add 81 points, now there are 19808 points
add 89 points, now there are 19978 points
add 85 points, now there are 20152 points
train 600 steps, train loss: 25.240154266357422
add 89 points, now there are 20326 points
add 80 points, now there are 20495 points
add 85 points, now there are 20660 points
add 90 points, now there are 20835 points
add 88 points, now there are 21013 points
add 90 points, now there are 21191 points
add 88 points, now there are 21369 points
add 87 points, now there are 21544 points
add 91 points, now there are 21722 points
add 87 points, now there are 21900 points
add 87 points, now there are 22074 points
train 700 steps, train loss: 25.076984405517578
add 92 points, now there are 22253 points
add 90 points, now there are 22435 points
add 83 points, now there are 22608 points
add 89 points, now there are 22780 points
add 88 points, now there are 22957 points
add 86 points, now there are 23131 points
add 91 points, now there are 23308 points
add 91 points, now there are 23490 points
add 87 points, now there are 23668 points
add 91 points, now there are 23846 points
add 88 points, now there are 24025 points
train 800 steps, train loss: 24.949180603027344
add 93 points, now there are 24206 points
add 90 points, now there are 24389 points
add 89 points, now there are 24568 points
add 91 points, now there are 24748 points
add 95 points, now there are 24934 points
add 87 points, now there are 25116 points
add 87 points, now there are 25290 points
add 88 points, now there are 25465 points
add 90 points, now there are 25643 points
add 87 points, now there are 25820 points
add 91 points, now there are 25998 points
train 900 steps, train loss: 24.849510192871094
add 93 points, now there are 26182 points
add 88 points, now there are 26363 points
add 90 points, now there are 26541 points
add 87 points, now there are 26718 points
add 93 points, now there are 26898 points
add 85 points, now there are 27076 points
add 88 points, now there are 27249 points
add 94 points, now there are 27431 points
add 93 points, now there are 27618 points
add 92 points, now there are 27803 points
add 86 points, now there are 27981 points
train 1000 steps, train loss: 24.755470275878906
add 92 points, now there are 28159 points
add 93 points, now there are 28344 points
add 86 points, now there are 28523 points
add 88 points, now there are 28697 points
add 95 points, now there are 28880 points
add 88 points, now there are 29063 points
add 91 points, now there are 29242 points
add 95 points, now there are 29428 points
add 94 points, now there are 29617 points
add 91 points, now there are 29802 points
add 89 points, now there are 29982 points
train 1100 steps, train loss: 24.670427322387695
add 91 points, now there are 30162 points
add 88 points, now there are 30341 points
add 89 points, now there are 30518 points
add 90 points, now there are 30697 points
add 96 points, now there are 30883 points
add 88 points, now there are 31067 points
add 90 points, now there are 31245 points
add 94 points, now there are 31429 points
add 92 points, now there are 31615 points
add 93 points, now there are 31800 points
add 90 points, now there are 31983 points
train 1200 steps, train loss: 24.58928680419922
add 89 points, now there are 32162 points
add 92 points, now there are 32343 points
add 85 points, now there are 32520 points
add 91 points, now there are 32696 points
add 95 points, now there are 32882 points
add 87 points, now there are 33064 points
add 93 points, now there are 33244 points
add 92 points, now there are 33429 points
add 94 points, now there are 33615 points
add 93 points, now there are 33802 points
add 89 points, now there are 33984 points
train 1300 steps, train loss: 24.50432777404785
add 91 points, now there are 34164 points
add 91 points, now there are 34346 points
